device_id,source_ip,time_window,bytes_sent,bytes_received,avg_bytes_sent,avg_bytes_received,packet_count,avg_connection_duration,total_duration,unique_dst_ips,unique_dst_ports,connection_count,protocol_diversity,failed_connection_ratio,external_ip_ratio,label,is_malicious
0.0.0.0_w0,0.0.0.0,0,43203.0,0.0,2880.2,0.0,144,56.300419933333345,844.5062990000001,1,1,15,1,1.0,1.0,Benign,0
0.0.0.0_w1,0.0.0.0,1,42000.0,0.0,3000.0,0.0,140,59.70642049999999,835.8898869999999,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w2,0.0.0.0,2,42000.0,0.0,3000.0,0.0,140,59.66745135714286,835.344319,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w3,0.0.0.0,3,42603.0,0.0,3277.153846153846,0.0,142,69.36899361538462,901.7969170000001,1,1,13,1,1.0,1.0,Benign,0
0.0.0.0_w4,0.0.0.0,4,42000.0,0.0,3000.0,0.0,140,59.45894678571428,832.425255,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w5,0.0.0.0,5,42000.0,0.0,3000.0,0.0,140,59.01618199999999,826.2265479999999,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w6,0.0.0.0,6,42000.0,0.0,3000.0,0.0,140,59.24105471428572,829.374766,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w7,0.0.0.0,7,42000.0,0.0,3000.0,0.0,140,59.37037507142857,831.185251,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w8,0.0.0.0,8,45000.0,0.0,3000.0,0.0,150,59.117785999999995,886.7667899999999,1,1,15,1,1.0,1.0,Benign,0
0.0.0.0_w9,0.0.0.0,9,42000.0,0.0,3000.0,0.0,140,59.45968649999999,832.4356109999999,1,1,14,1,1.0,1.0,Benign,0
0.0.0.0_w10,0.0.0.0,10,36900.0,0.0,3075.0,0.0,123,62.21584741666666,746.590169,1,1,12,1,1.0,1.0,Benign,0
